,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
7,Ricardo Avila,Panama,21,M(CLR),2,1,108,0,1,0,6.59,2017-18,FIFA World Cup
8,Yohan Benalouane,Tunisia,31,D(CR),1,0,49,0,0,0,6.59,2017-18,FIFA World Cup
9,Jefferson Farfán,Peru,34,"M(CR),FW",2,1,130,0,0,0,6.59,2017-18,FIFA World Cup
0,Michal Pazdan,Poland,31,D(C),2,2,170,0,0,0,6.59,2017-18,FIFA World Cup
1,Raheem Sterling,England,24,"M(CLR),FW",6,6,456,0,1,0,6.59,2017-18,FIFA World Cup
2,Aymen Balbouli,Tunisia,34,GK,1,1,90,0,0,0,6.58,2017-18,FIFA World Cup
3,Danilo,Brazil,27,"D(CLR),DMC",1,1,90,0,0,0,6.58,2017-18,FIFA World Cup
4,Leander Dendoncker,Belgium,23,"D(C),M(C)",1,1,90,0,0,0,6.58,2017-18,FIFA World Cup
5,Edison Flores,Peru,24,"AM(CLR),FW",3,3,242,0,0,0,6.57,2017-18,FIFA World Cup
6,Hannes Halldórsson,Iceland,34,GK,3,3,270,0,0,1,6.57,2017-18,FIFA World Cup
7,Nicolai Jørgensen,Denmark,27,FW,3,2,212,0,1,0,6.57,2017-18,FIFA World Cup
8,Niklas Süle,Germany,23,D(CR),1,1,90,0,0,0,6.57,2017-18,FIFA World Cup
9,Achraf Hakimi,Morocco,20,"D(LR),M(R)",3,3,270,0,0,0,6.57,2017-18,FIFA World Cup
0,Bernardo Silva,Portugal,24,"M(CLR),FW",4,3,238,0,0,0,6.57,2017-18,FIFA World Cup
1,Karim Ansarifard,Iran,28,FW,3,2,178,1,0,0,6.56,2017-18,FIFA World Cup
2,Bartosz Bereszynski,Poland,26,"D(CLR),M(R)",3,2,169,0,0,0,6.56,2017-18,FIFA World Cup
3,Maximiliano Meza,Argentina,26,AM(CLR),4,2,208,0,0,0,6.56,2017-18,FIFA World Cup
4,Pedro Gallese,Peru,28,GK,3,3,270,0,0,0,6.56,2017-18,FIFA World Cup
5,Jordan Pickford,England,24,GK,7,7,691,0,0,0,6.56,2017-18,FIFA World Cup
6,Alfred N'Diaye,Senegal,28,"D(C),M(C)",2,2,152,0,0,0,6.56,2017-18,FIFA World Cup
