,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
4,Bernard Mendy,Brest,32,D(LR),31,30,2670,0,0,1,7.09,2012-13,FRA Ligue 1
5,Jacques-Alaixys Romao,Marseille,29,"D(C),M(C)",15,15,1331,0,0,0,7.09,2012-13,FRA Ligue 1
6,Jeremie Bréchet,Troyes,34,D(C),24,24,2160,2,1,1,7.08,2012-13,FRA Ligue 1
7,Ludovic Obraniak,Bordeaux,29,M(CLR),30,28,2352,6,4,1,7.08,2012-13,FRA Ligue 1
8,Gaël Danic,Valenciennes,32,AM(CLR),30,28,2384,5,11,3,7.08,2012-13,FRA Ligue 1
9,Wahbi Khazri,SC Bastia,22,"M(CLR),FW",29,22,2042,7,7,2,7.08,2012-13,FRA Ligue 1
0,Marko Basa,Lille,31,D(C),34,34,3002,5,1,3,7.08,2012-13,FRA Ligue 1
1,Kenny Lala,Valenciennes,22,"D(LR),M(R)",7,6,585,1,0,0,7.08,2012-13,FRA Ligue 1
2,Steed Malbranque,Lyon,34,M(C),31,30,2501,2,7,3,7.07,2012-13,FRA Ligue 1
3,Sébastien Corchia,Sochaux,23,"D(R),M(R)",34,34,2992,1,2,3,7.07,2012-13,FRA Ligue 1
4,Kossi Agassa,Reims,35,GK,33,33,2926,0,0,6,7.07,2012-13,FRA Ligue 1
5,Fabrice N'Sakala,Troyes,23,"D(L),M(L)",22,21,1874,0,2,1,7.07,2012-13,FRA Ligue 1
6,Didier Digard,Nice,27,M(C),35,35,3013,2,3,3,7.07,2012-13,FRA Ligue 1
7,Ahmed Kantari,Brest,28,D(C),29,29,2518,1,0,2,7.06,2012-13,FRA Ligue 1
8,Javier Pastore,PSG,24,AM(CLR),34,30,2489,4,7,0,7.06,2012-13,FRA Ligue 1
9,Salvatore Sirigu,PSG,27,GK,33,33,2929,0,0,2,7.06,2012-13,FRA Ligue 1
0,Sébastien Puygrenier,Nancy,31,D(C),36,36,3240,7,0,4,7.06,2012-13,FRA Ligue 1
1,Rod Fanni,Marseille,32,D(CR),33,33,2927,2,3,2,7.06,2012-13,FRA Ligue 1
2,Éric Bauthéac,Nice,26,AM(LR),35,33,2909,9,7,4,7.06,2012-13,FRA Ligue 1
3,Thiago Motta,PSG,31,M(C),12,11,899,1,1,0,7.06,2012-13,FRA Ligue 1
4,Nenê,PSG,32,"AM(CLR),FW",9,5,506,1,4,0,7.06,2012-13,FRA Ligue 1
