Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1962,Heinz Nowy,Defender,19,Austria,Multiple clubs,N/A,31,21,0,21
1962,Helmut Fiebach,Centre-Back,27,Germany,Tasmania Berlin,Germany OL Berlin,28,16,0,16
1962,Martin Koeman,Centre-Back,22,Netherlands,Blauw-Wit,Netherlands Eredivisie,33,16,0,16
1962,Heinrich Bauer,Defender,26,Germany,1.FC K'lautern,Germany OL Südwest,28,14,0,14
1962,Claus Winkelmann,Left-Back,22,Germany,VfV Hildesheim,Germany Oberliga Nord,25,13,0,13
1962,Hermann Diehl,Defender,25,Germany,W. Mannheim,Germany Oberliga Süd,26,13,0,13
1962,Vincenz Fuchs,Defender,23,Germany,1.FSV Mainz 05,Germany OL Südwest,29,12,0,12
1962,Dieter Lindner,Sweeper,22,Germany,E. Frankfurt,Germany Oberliga Süd,19,9,1,10
1962,Arnold Schütz,Sweeper,26,Germany,Werder Bremen,Germany Oberliga Nord,29,9,0,9
1962,Anton Regh,Centre-Back,20,Germany,1.FC Köln,Germany Oberliga West,21,9,0,9
1962,Markus Pfirter,Defender,21,Switzerland,Multiple clubs,N/A,25,9,0,9
1962,Paul Richter,Defender,26,Germany,FC Bayern Hof,Germany Oberliga Süd,25,9,0,9
1962,Günter Dunkel,Defender,21,Germany,BFC Südring,Germany OL Berlin,20,9,0,9
1962,Matthias Hemmersbach,Left-Back,19,Germany,1.FC Köln,Germany Oberliga West,23,8,0,8
1962,Hermann Nuber,Sweeper,25,Germany,K. Offenbach,Germany Oberliga Süd,28,8,0,8
1962,Hans Barwenzik,Defender,27,Germany,RW Oberhausen,Germany Oberliga West,20,8,0,8
1962,Manfred Schößler,Defender,22,Germany,VfB Oldenburg,Germany Oberliga Nord,26,8,0,8
1962,Heinz Blumer,Defender,19,Switzerland,Multiple clubs,N/A,18,8,0,8
1962,Bertold Keusch,Defender,23,Germany,SC Union 06,Germany OL Berlin,25,8,0,8
1962,Horst Häfner,Centre-Back,20,Germany,Hamborn 07,Germany Oberliga West,27,7,0,7
1962,Sergio Cervato,Left-Back,32,Italy,SPAL,Italy Serie A,37,7,0,7
1962,John White,Attacking Midfield,24,Scotland,Tottenham,England First Division (- 91/92),52,10,18,28
1962,Reinhold Straus,Central Midfield,23,Germany,Wormatia Worms,Germany OL Südwest,30,27,0,27
1962,Helmut Kapitulski,Attacking Midfield,26,Germany,FK Pirmasens,Germany OL Südwest,36,24,0,24
1962,Carol Schuurman,Midfielder,26,Netherlands,ADO,Netherlands Eredivisie,34,23,0,23
1962,Peter Wulf,Attacking Midfield,23,Germany,Hamburger SV,Germany Oberliga Nord,23,22,0,22
1962,Jimmy McIlroy,Attacking Midfield,29,Northern Ireland,Burnley,England First Division (- 91/92),41,16,6,22
1962,Willi Soya,Attacking Midfield,25,Germany,Werder Bremen,Germany Oberliga Nord,31,21,0,21
1962,Otto Geisert,Attacking Midfield,21,Germany,E. Nordhorn,Germany Oberliga Nord,30,20,0,20
1962,Frans Bouwmeester sr.,Left Midfield,21,Netherlands,Feijenoord,Netherlands Eredivisie,41,19,1,20
1962,Gordon Harris,Left Midfield,21,England,Burnley,England First Division (- 91/92),39,17,3,20
1962,Alan Skirton,Right Midfield,22,England,Arsenal,England First Division (- 91/92),39,19,0,19
1962,Casimir Koza,Right Midfield,26,France,R. Strasbourg,France Ligue 1,33,19,0,19
1962,Wolfgang Seeger,Midfielder,24,Germany,TeBe Berlin,Germany OL Berlin,27,18,0,18
1962,Mel Charles,Midfielder,26,Wales,Multiple clubs,N/A,34,18,0,18
1962,Josef Hamerl,Midfielder,30,Austria,Multiple clubs,N/A,33,17,0,17
1962,Jan van den Heuvel,Midfielder,25,Netherlands,VVV,Netherlands Eredivisie,30,17,0,17
1962,Horst Trimhold,Defensive Midfield,20,Germany,SW Essen,Germany Oberliga West,28,16,0,16
1962,Beertje Kreijermaat,Midfielder,26,Netherlands,Feijenoord,Netherlands Eredivisie,44,16,0,16
1962,Jean-Jacques Marcel,Right Midfield,30,France,RC Paris,France Ligue 1,36,16,0,16
1962,Philippe Pottier,Attacking Midfield,22,Switzerland,Multiple clubs,N/A,39,16,0,16
1962,János Hanek,Midfielder,24,Hungary,DOS,Netherlands Eredivisie,34,16,0,16
1962,Danny Blanchflower,Central Midfield,35,Northern Ireland,Tottenham,England First Division (- 91/92),55,6,10,16
1962,Rolf Geiger,Attacking Midfield,26,Germany,VfB Stuttgart,Germany Oberliga Süd,28,15,0,15
1962,Ray Crawford,Centre-Forward,24,England,Ipswich,England First Division (- 91/92),50,37,13,50
1962,Jimmy Greaves,Centre-Forward,21,England,Multiple clubs,N/A,44,39,4,43
1962,Ferenc Puskás,Centre-Forward,34,Hungary,Real Madrid,Spain LaLiga,40,40,0,40
1962,Rudi Dörrenbächer,Striker,28,Germany,B. Neunkirchen,Germany OL Südwest,36,40,0,40
1962,Ted Phillips,Centre-Forward,27,England,Ipswich,England First Division (- 91/92),50,36,4,40
1962,Henk Groot,Centre-Forward,23,Netherlands,Ajax,Netherlands Eredivisie,42,35,5,40
1962,Ray Charnley,Striker,22,England,Blackpool,England First Division (- 91/92),45,36,1,37
1962,Derek Kevan,Centre-Forward,26,England,West Brom,England First Division (- 91/92),44,34,0,34
1962,Roy Stephenson,Right Winger,29,England,Ipswich,England First Division (- 91/92),50,10,24,34
1962,Ray Pointer,Centre-Forward,24,England,Burnley,England First Division (- 91/92),45,25,6,31
1962,Cliff Jones,Left Winger,26,Wales,Tottenham,England First Division (- 91/92),54,24,7,31
1962,Kurt Hamrin,Right Winger,26,Sweden,Fiorentina,Italy Serie A,47,30,0,30
1962,Rudolf Brunnenmeier,Centre-Forward,20,Germany,1860 Munich,Germany Oberliga Süd,32,29,0,29
1962,Rolf Fritzsche,Centre-Forward,27,Germany,FK Pirmasens,Germany OL Südwest,34,28,1,29
1962,Uwe Seeler,Centre-Forward,24,Germany,Hamburger SV,Germany Oberliga Nord,28,28,0,28
1962,Cees Groot,Centre-Forward,29,Netherlands,Ajax,Netherlands Eredivisie,35,28,0,28
1962,Gerd Koll,Centre-Forward,23,Germany,Holstein Kiel,Germany Oberliga Nord,30,28,0,28
1962,Klaus Matischak,Centre-Forward,22,Germany,FK Pirmasens,Germany OL Südwest,26,28,0,28
1962,Evaristo de Macedo,Centre-Forward,28,Brazil,Barcelona,Spain LaLiga,30,28,0,28
1962,Roy Vernon,Centre-Forward,24,Wales,Everton,England First Division (- 91/92),39,27,1,28
1962,Dick 'Knoest' Tol,Centre-Forward,26,Netherlands,Volendam,Netherlands Eredivisie,28,27,0,27
1962,Hassan Akesbi,Centre-Forward,26,Morocco,Stade Reims,France Ligue 1,41,27,0,27
1963,Jürgen Moll,Left-Back,22,Germany,E. Braunschweig,Germany Oberliga Nord,26,23,0,23
1963,Heinz Blumer,Defender,20,Switzerland,Multiple clubs,N/A,28,17,0,17
1963,Dieter Pulter,Centre-Back,23,Germany,1.FC K'lautern,Germany OL Südwest,27,15,0,15
1963,Klaus Hartmann,Defender,21,Germany,Wacker Berlin,Germany OL Berlin,23,14,0,14
1963,Helmut Fiebach,Centre-Back,28,Germany,Tasmania Berlin,Germany OL Berlin,26,12,0,12
1963,Hermann Nuber,Sweeper,26,Germany,K. Offenbach,Germany Oberliga Süd,29,12,0,12
1963,Hans Barwenzik,Defender,28,Germany,RW Oberhausen,Germany Oberliga West,35,12,0,12
1963,Chuzo,Defender,22,Spain,Atlético Madrid,Spain LaLiga,19,12,0,12
1963,Wolfgang Kube,Defender,24,Germany,Spandauer SV,Germany OL Berlin,27,12,0,12
1963,Werner Dunkel,Defender,24,Germany,BFC Südring,Germany OL Berlin,23,12,0,12
1963,Martin Koeman,Centre-Back,23,Netherlands,Blauw-Wit,Netherlands Eredivisie,33,11,0,11
1963,Giorgio Puia,Centre-Back,24,Italy,Vicenza,Italy Serie A,38,11,0,11
1963,Charly Hertig,Centre-Back,22,Switzerland,Multiple clubs,N/A,35,11,0,11
1963,Gerhard Cyliax,Centre-Back,27,Germany,Bor. Dortmund,Germany Oberliga West,34,10,1,11
1963,Wolfgang Schwierzke,Centre-Back,25,Germany,Saarbrücken,Germany OL Südwest,30,10,0,10
1963,Vincenz Fuchs,Defender,24,Germany,1.FSV Mainz 05,Germany OL Südwest,30,10,0,10
1963,Peter Schulz,Defender,22,Germany,RW Oberhausen,Germany Oberliga West,27,10,0,10
1963,Horst Schröter,Defender,23,Germany,VfR Neumünster,Germany Oberliga Nord,30,10,0,10
1963,Arnold Schütz,Sweeper,27,Germany,Werder Bremen,Germany Oberliga Nord,28,9,0,9
1963,Lothar Schämer,Left-Back,22,Germany,E. Frankfurt,Germany Oberliga Süd,22,9,0,9
1963,Claus Winkelmann,Left-Back,23,Germany,VfV Hildesheim,Germany Oberliga Nord,29,9,0,9
1963,Markus Pfirter,Defender,22,Switzerland,Multiple clubs,N/A,29,9,0,9
1963,Lothar Groß,Right-Back,22,Germany,Hertha BSC,Germany OL Berlin,27,8,0,8
1963,Horst Häfner,Centre-Back,21,Germany,Hamborn 07,Germany Oberliga West,28,8,0,8
1963,Horst Brill,Defender,21,Germany,FK Pirmasens,Germany OL Südwest,30,8,0,8
1963,John White,Attacking Midfield,25,Scotland,Tottenham,England First Division (- 91/92),46,13,12,25
1963,Aimé Gori,Midfielder,26,France,G. Bordeaux,France Ligue 1,38,24,0,24
1963,Friedel Trapp,Midfielder,30,Germany,Frankenthal,Germany OL Südwest,30,24,0,24
1963,Lothar Ulsaß,Attacking Midfield,21,Germany,Arm. Hannover,Germany Oberliga Nord,26,23,0,23
1963,Salah Djebaïli,Attacking Midfield,27,Algeria,Nîmes Olympique,France Ligue 1,46,21,0,21
1963,Werner Schneider,Midfielder,23,Germany,SpVgg Fürth,Germany Oberliga Süd,29,20,0,20
1963,Colin Addison,Central Midfield,22,England,Forest,England First Division (- 91/92),42,20,0,20
1963,Udo Lattek,Midfielder,27,Germany,VfL Osnabrück,Germany Oberliga Nord,30,19,0,19
1963,Gino Raffin,Left Midfield,26,Italy,AC Venezia,Italy Serie A,37,18,0,18
1963,Mike Stringfellow,Left Midfield,19,England,Leicester,England First Division (- 91/92),32,18,0,18
1963,Tasso Wild,Attacking Midfield,21,Germany,1.FC Nuremberg,Germany Oberliga Süd,33,17,0,17
1963,Gert Fröhlich,Attacking Midfield,21,Germany,BC Augsburg,Germany Oberliga Süd,29,17,0,17
1963,Kurt Vondung,Midfielder,19,Germany,Ludwigshaf. SC,Germany OL Südwest,25,17,0,17
1963,Jimmy Melia,Central Midfield,24,England,Liverpool,England First Division (- 91/92),44,7,10,17
1963,Willy Reitgaßl,Right Midfield,26,Germany,1.FC K'lautern,Germany OL Südwest,28,16,0,16
1963,Reinhold Straus,Central Midfield,24,Germany,Wormatia Worms,Germany OL Südwest,29,16,0,16
1963,Henk 'Charly' Bosveld,Central Midfield,20,Netherlands,SC Enschede,Netherlands Eredivisie,25,16,0,16
1963,Co Prins,Attacking Midfield,24,Netherlands,Ajax,Netherlands Eredivisie,29,11,5,16
1963,Willi Soya,Attacking Midfield,26,Germany,Werder Bremen,Germany Oberliga Nord,32,15,0,15
1963,Peter Wulf,Attacking Midfield,24,Germany,Hamburger SV,Germany Oberliga Nord,23,15,0,15
1963,Peter Grosser,Central Midfield,23,Germany,Multiple clubs,N/A,41,15,0,15
1963,Otto Geisert,Attacking Midfield,22,Germany,Karlsruher SC,Germany Oberliga Süd,25,15,0,15
1963,Luis Aragonés,Central Midfield,23,Spain,Real Betis,Spain LaLiga,33,15,0,15
1963,Jimmy Greaves,Centre-Forward,22,England,Tottenham,England First Division (- 91/92),49,45,10,55
1963,Hans-Joachim Altendorff,Centre-Forward,21,Germany,Hertha BSC,Germany OL Berlin,26,41,0,41
1963,Dieter Meyer,Centre-Forward,22,Germany,Werder Bremen,Germany Oberliga Nord,31,39,0,39
1963,Uwe Seeler,Centre-Forward,25,Germany,Hamburger SV,Germany Oberliga Nord,32,38,0,38
1963,Ray Crawford,Centre-Forward,25,England,Ipswich,England First Division (- 91/92),49,34,1,35
1963,Serge Masnaghetti,Striker,28,France,US Valenciennes,France Ligue 1,34,34,0,34
1963,Joe Baker,Centre-Forward,22,England,Arsenal,England First Division (- 91/92),42,31,1,32
1963,Denis Law,Centre-Forward,22,Scotland,Man Utd,England First Division (- 91/92),44,29,3,32
1963,Hassan Akesbi,Centre-Forward,27,Morocco,Stade Reims,France Ligue 1,39,31,0,31
1963,Ferenc Puskás,Centre-Forward,35,Hungary,Real Madrid,Spain LaLiga,39,30,0,30
1963,David Layne,Centre-Forward,22,England,Sheff Wed,England First Division (- 91/92),42,30,0,30
1963,Roger Hunt,Centre-Forward,23,England,Liverpool,England First Division (- 91/92),48,26,4,30
1963,Ian St. John,Centre-Forward,24,Scotland,Liverpool,England First Division (- 91/92),46,20,10,30
1963,Dieter Krafczyk,Centre-Forward,20,Germany,Saarbrücken,Germany OL Südwest,29,29,0,29
1963,Winfried Richter,Centre-Forward,21,Germany,1.FC K'lautern,Germany OL Südwest,36,29,0,29
1963,Rainer Ohlhauser,Centre-Forward,21,Germany,Bayern Munich,Germany Oberliga Süd,38,28,0,28
1963,José Altafini,Centre-Forward,23,Italy,Milan,Italy Serie A,45,27,1,28
1963,Kurt Haseneder,Centre-Forward,20,Germany,1.FC Nuremberg,Germany Oberliga Süd,26,27,0,27
1963,Pierre Kerkhoffs,Striker,26,Netherlands,PSV Eindhoven,Netherlands Eredivisie,35,26,0,26
1963,Roberto Frigerio,Centre-Forward,23,Switzerland,Multiple clubs,N/A,25,26,0,26
1963,Alex Harley,Centre-Forward,26,Scotland,Man City,England First Division (- 91/92),42,25,1,26
1963,Cliff Jones,Left Winger,27,Wales,Tottenham,England First Division (- 91/92),45,22,4,26
1964,Jürgen Moll,Left-Back,23,Germany,E. Braunschweig,Germany Bundesliga,32,9,8,17
1964,Lothar Schämer,Left-Back,23,Germany,E. Frankfurt,Germany Bundesliga,19,7,5,12
1964,Arnold Schütz,Sweeper,28,Germany,Werder Bremen,Germany Bundesliga,31,11,0,11
1964,Erwin Sparendam,Centre-Back,28,Suriname,Blauw-Wit,Netherlands Eredivisie,27,9,0,9
1964,Guus Haak,Defender,26,Netherlands,Feijenoord,Netherlands Eredivisie,28,8,0,8
1964,Frank McLintock,Centre-Back,23,Scotland,Leicester,England First Division (- 91/92),37,8,0,8
1964,Stan Lynn,Right-Back,37,England,Birmingham,England First Division (- 91/92),33,8,0,8
