,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
64,Luis Díaz,26,COL,Liverpool,Att Mid / Winger,951,87,82,79,55,38,64,79,73,90,53,73,87,92,79,57,58,46,10,82,67.57894736842105
65,Lucas Digne,30,FRA,Aston Villa,Fullback,1312,72,23,36,73,82,69,71,57,30,34,18,8,64,90,28,78,36,79,79,54.05263157894737
66,Issa Diop,26,FRA,Fulham,Center Back,2360,56,9,9,28,38,11,12,77,75,59,56,24,10,40,31,74,40,64,13,38.21052631578947
67,Axel Disasi,25,FRA,Chelsea,Center Back,3630,96,91,91,58,47,84,55,69,48,95,96,88,90,85,2,74,47,11,75,68.52631578947368
68,Matt Doherty,31,IRL,Wolves,Fullback,782,83,90,97,9,14,58,69,49,70,17,45,51,98,88,41,67,95,46,99,62.421052631578945
69,Jeremy Doku,21,BEL,Manchester City,Midfielder,1701,99,87,93,79,99,99,99,19,50,37,99,99,99,99,26,1,8,1,1,62.8421052631579
70,Gabriel Dos Santos,25,BRA,Arsenal,Center Back,3502,65,96,81,28,5,85,36,80,78,72,37,24,88,76,32,19,64,23,89,56.73684210526316
71,Abdoulaye Doucouré,30,MLI,Everton,Midfielder,1837,98,93,70,54,83,93,63,7,25,3,70,77,95,87,40,25,85,7,38,58.578947368421055
72,Cheick Doucouré,23,MLI,Crystal Palace,Midfielder,2706,14,29,58,40,28,23,40,27,57,44,17,45,23,7,80,97,81,76,61,44.578947368421055
73,Lewis Dunk,31,ENG,Brighton,Center Back,3149,41,59,82,28,62,57,83,99,91,91,73,40,80,50,12,26,14,3,44,54.473684210526315
74,Odsonne Édouard,25,FRA,Crystal Palace,Forward,1946,66,29,39,15,6,13,48,27,52,43,61,51,65,35,94,67,79,77,55,48.526315789473685
75,Harvey Elliott,20,ENG,Liverpool,Midfielder,1658,70,80,97,60,81,80,86,65,35,87,93,55,96,98,23,42,94,25,14,67.42105263157895
76,Emerson,24,BRA,Tottenham,Fullback,1664,93,79,72,9,7,43,28,80,71,76,80,49,85,77,86,46,9,99,82,61.63157894736842
77,Wataru Endo,30,JPN,Liverpool,Midfielder,2457,81,78,76,75,84,82,63,43,41,64,28,59,72,53,53,29,72,89,91,64.89473684210526
78,Christian Eriksen,31,DEN,Manchester Utd,Midfielder,2301,59,91,79,99,91,94,90,90,52,93,62,26,60,71,7,12,32,21,7,59.78947368421053
79,Pervis Estupiñán,25,ECU,Brighton,Fullback,2955,69,71,81,90,92,88,86,86,75,88,85,44,89,80,50,74,38,8,75,72.05263157894737
80,Eberechi Eze,25,ENG,Crystal Palace,Att Mid / Winger,2608,81,75,86,7,29,58,74,65,75,77,22,86,35,13,68,54,19,28,74,54.0
81,Ansu Fati,20,ESP,Brighton,Att Mid / Winger,1613,69,98,99,20,3,83,34,58,96,50,44,27,98,92,20,18,73,24,60,56.10526315789474
82,Evan Ferguson,18,IRL,Brighton,Forward,1163,96,90,96,64,7,82,31,44,96,32,39,53,16,32,31,47,93,27,19,52.36842105263158
83,Bruno Fernandes,29,POR,Manchester Utd,Att Mid / Winger,4045,26,58,77,84,99,98,99,96,39,99,16,15,55,27,86,75,58,95,48,65.78947368421052
